; f		V+	Verr	Vo	Verr
  100000.0	3.20	0.02	3.00	0.02
  80000.0	3.20	0.02	3.08	0.02
  60000.0	3.20	0.02	3.12	0.02
  40000.0	3.20	0.02	3.12	0.02
  30000.0	3.20	0.02	3.08	0.02
  20000.0	3.20	0.02	2.84	0.02
  18000.0	3.20	0.02	2.76	0.02
  16000.0	3.20	0.02	2.68	0.02
  14000.0	3.20	0.02	2.56	0.02
  12000.0	3.16	0.02	2.40	0.02
  10480.0	3.16	0.02	2.24	0.02
  8000.0	3.16	0.02	1.92	0.02
  6000.0	3.12	0.02	1.56	0.02
  4000.0	3.08	0.02	1.10	0.01
  2000.0	3.08	0.02	0.62	0.01
  1000.0	3.04	0.02	0.300	0.002
  100.0		3.00	0.02	0.056	0.004
