; V+		Verr	I	Ierr
  -8.15		0.01	4.36	0.01
  -5.96		0.01	3.37	0.01
  -5.48		0.01	3.16	0.01
  -5.06		0.01	2.96	0.01
  -4.56		0.01	2.74	0.01
  -4.11		0.01	2.53	0.01
  -3.66		0.01	2.33	0.01
  -2.92		0.01	1.99	0.01
  -2.61		0.01	1.925	0.001
  -2.21		0.01	1.733	0.001
  -1.885	0.001	1.515	0.001
  -1.657	0.001	1.332	0.001
  -1.392	0.001	1.119	0.001
  -0.937	0.001	0.753	0.001
  -0.468	0.001	0.377	0.001
  -0.017	0.001	0.014	0.001 
  0.017		0.001	-0.014	0.001
  0.131		0.001	-0.105	0.001
  0.473		0.001	-0.380	0.001
  0.726		0.001	-0.583	0.001
  0.925		0.001	-0.744	0.001
  1.116		0.001	-0.896	0.001
  1.382		0.003	-1.117	0.002
  1.507		0.001	-1.209	0.001
  1.677		0.001	-1.347	0.001
  1.836		0.001	-1.439	0.001
  2.08		0.01	-1.546	0.001
  2.25		0.01	-1.618	0.001
  2.52		0.01	-1.730	0.001
  2.76		0.01	-1.836	0.001
  2.96		0.01	-1.918	0.001
  3.64		0.01	-2.12	0.01
  4.10		0.01	-2.31	0.01
  4.57		0.01	-2.50	0.01
  5.08		0.01	-2.71	0.01
  5.51		0.01	-2.88	0.01
  6.07		0.01	-3.11	0.01
  8.15		0.01	-3.96	0.01
